Paper Number,First Author,Affiliation,Country,Status
1,Alex Gulko,Ohio State University,USA,confirmed
2,Himanshu Beniwal,IIT Gandhinagar,India,confirmed
3,Nathanaël Carraz Rakotonirina,Universitat Pompeu Fabra,Spain,confirmed
4,Stefan Arnold,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,confirmed
5,Hawon Jeong,KAIST,South Korea,confirmed
6,Iuri Macocco,Universitat Pompeu Fabra,Spain,confirmed
7,Nadav Shani,University of Copenhagen,Denmark,confirmed
8,Nils Feldhus,TU Berlin,Germany,confirmed
9,Yuval Weiss,University of Cambridge,UK,confirmed
10,Weiqiu You,University of Pennsylvania,USA,confirmed
11,Ryosuke Takahashi,Tohoku University,Japan,confirmed
12,Angelina Parfenova,Lucerne University of Applied Sciences and Arts,Switzerland,confirmed
13,Ahmed Frikha,Huawei Munich,Germany,confirmed
14,Michael Hanna,University of Amsterdam,Netherlands,confirmed
15,Tanja Baeumel,DFKI,Germany,confirmed
16,Dang Thi Thao Anh,Utrecht University,Netherlands,confirmed
17,Kentaro Ozeki,Keio University,Japan,confirmed
18,Hayate Funakura,Kyoto University,Japan,confirmed
19,Yutaro Sigrist,Lucerne University of Applied Sciences and Arts,Switzerland,pending
20,Ziqi Zhang,Hong Kong Polytechnic University,China,confirmed
21,Hakaze Cho,JAIST,Japan,confirmed
22,Francesca Lucchetti,Northeastern University,USA,confirmed
23,Lina Conti,University of Trento,Italy,confirmed
24,Zhi Li,Tsinghua University,China,confirmed
25,Victor Morand,Sorbonne Université,France,confirmed
26,Suchun Xie,Tohoku University,Japan,confirmed
27,Wenyu Du,University of Hong Kong,China,confirmed
28,Nathalie Maria Kirch,King's College London,UK,confirmed
29,Yaniv Nikankin,Technion,Israel,confirmed
30,Nicolò Brunello,Politecnico di Milano,Italy,confirmed
31,Philipp Mondorf,LMU Munich,Germany,confirmed
33,Weiqiu You,University of Pennsylvania,USA,confirmed
34,Yingji Zhang,University of Manchester,UK,confirmed
35,Jiaxuan Li,UC Irvine,USA,confirmed
36,Boyuan Chen,Algoverse,USA,confirmed
37,Sebastian Gerstner,LMU Munich,Germany,confirmed
38,Zachary Yang,McGill University,Canada,confirmed
39,Elena Golimblevskaia,Fraunhofer HHI,Germany,confirmed
40,Aadim Nepal,NYU Abu Dhabi,UAE,confirmed
41,Junhao Liu,Peking University,China,confirmed
42,Meng Lu,Brown University,USA,confirmed
43,Frauke Andersen,University of Tuebingen,Germany,confirmed
44,Shreya Havaldar,University of Pennsylvania,USA,confirmed
45,Mahdi Dhaini,TUM,Germany,confirmed
46,Tamanna Hossain,UC Irvine,USA,confirmed
47,Shreyans Jain,NA,NA,confirmed
48,Paula Droeghoff,UCL,UK,confirmed
49,Anna Deng,Algoverse,USA,confirmed
50,Sayam Goyal,Purdue University,USA,confirmed
51,Narmeen Fatimah Oozeer,Martian,USA,confirmed
52,Naufal Adityo,University of Toronto,Canada,confirmed
53,Avigya Paudel,Union College,USA,confirmed
54,Adam Kamel,University of Waterloo,Canada,confirmed
55,Steven Ngo,Algoverse,USA,confirmed
56,Shreyans Jain,NA,NA,confirmed
57,Sohum Mehta,Illinois Math and Science Academy,USA,confirmed
58,Andric Valdez Valenzuela,IIMAS,Mexico,confirmed